id,category,name,fosterSpecific,priority,referralTrigger,eligibility,provides,access,phone,location,caveat,sourceUrl,lastVerified,referralStatus,notes,area,areaGroup,focusTags,radiusNote
18,Foster care-specific,The Relatives — On Ramp Resource Center,Partial,Core,A young adult ages 16–24 needs one place for broad youth-centered case management and resource connection.,Young people ages 16–24 in Mecklenburg County; foster-care history is not required.,"Case management, employment, education, housing navigation, basic needs and connections to partner services.",Walk in or call the resource center.,704-344-1111,"2219 Freedom Drive, Charlotte, NC 28208.",Hours and same-day service capacity can change; call before traveling.,https://therelatives.org/our-programs/on-ramp-resource-center/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Employment / workforce; Education; Housing; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
19,Foster care-specific,The Relatives — Young Adult Housing,Partial,Core,"A young adult ages 18–24 is homeless, at risk of homelessness or fleeing domestic violence.",Young adults ages 18–24 meeting the program's housing-risk criteria.,Scattered-site housing plus case management and support toward long-term stability.,Contact The Relatives and ask for young-adult housing screening.,704-344-1111,Mecklenburg County.,Units and subsidies are limited; eligibility does not guarantee immediate placement.,https://therelatives.org/our-programs/housing/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Housing; Health care; Legal / safety; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
20,Foster care-specific,Charlotte Angels — Dare to Dream,Yes,Specialized,A youth or young adult in foster care needs a consistent mentor and relational support.,"Youth and young adults in foster care, generally ages 11–22; matching criteria apply.","Long-term volunteer mentoring, goal support and relational consistency.",Submit a youth/mentor inquiry through Charlotte Angels.,,Greater Charlotte area.,Mentor matching depends on volunteer availability and safety-screening processes.,https://www.charlotteangels.org/mentor,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Legal / safety; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
21,Foster care-specific,SaySo / Strong Able Youth Speaking Out,Yes,Specialized,"A current or former foster youth wants peer connection, leadership, advocacy and transition information.","Young people with out-of-home-care experience; published age ranges vary by activity, generally teens through mid-20s.","Youth-led peer network, conferences, advocacy, leadership and transition resources.",Join through SaySo or Children's Home Society of North Carolina.,,Statewide North Carolina.,Confirm the age range and event eligibility for the specific activity.,https://chsnc.org/programs-services/sayso/,2026-08-05,Not contacted,,Statewide / national,Statewide / national,Mentorship; Soft skills / life skills; Housing; Community / belonging; Transportation,Statewide or national fallback resource accessible from the Charlotte area.
22,Foster care-specific,HUD Foster Youth to Independence (FYI) Voucher,Yes,Verify,A former foster youth ages 18–24 is homeless or at risk and needs a time-limited housing voucher.,"Federal criteria generally include leaving foster care, ages 18–24 and homelessness/housing instability; local referral partnership is required.",Housing Choice Voucher assistance with supportive services for eligible former foster youth.,Ask Mecklenburg LINKS and INLIVIAN whether an active FYI referral pathway currently exists.,,Potentially Charlotte/Mecklenburg if locally implemented.,Federal availability does not prove local voucher availability. Treat this as a referral-pathway lead until INLIVIAN confirms.,https://www.hud.gov/hud-partners/public-indian-housing-fyi,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
23,Foster care-specific,I Am Here Vital Document Legal Hotline,Partial,Specialized,"A young person experiencing homelessness lacks a birth certificate, state ID or other vital document.",Young people experiencing homelessness; case eligibility is assessed by the hotline.,Free legal help obtaining identification and vital documents.,Call or text the hotline and leave a message if unanswered.,1-888-870-DOCS,Nationwide; accessible from Charlotte.,Published hotline hours have varied; confirm the current schedule and expect callback-based service.,https://nn4youth.org/programs/vital-document-legal-hotline-for-youth/,2026-08-05,Not contacted,,Statewide / national,Statewide / national,Housing; Legal / safety; Community / belonging,Statewide or national fallback resource accessible from the Charlotte area.
24,Foster care-specific,National Runaway Safeline,Partial,Specialized,"A young person is away from home, considering leaving, unsafe, disconnected from family or needs help returning safely.",Youth and young adults; Home Free transportation generally serves ages 12–21.,"24/7 confidential crisis support, mediated communication, local referrals and eligible transportation home.","Call 1-800-RUNAWAY, text or use online chat.",1-800-RUNAWAY,Nationwide.,Not a local housing program; transportation and reunification services have specific criteria.,https://www.1800runaway.org/,2026-08-05,Not contacted,,Statewide / national,Statewide / national,Housing; Mental health / recovery; Community / belonging; Transportation,Statewide or national fallback resource accessible from the Charlotte area.
25,Housing / homelessness,Roof Above — Day Services Center,No,Core,"An unstably housed or homeless adult needs meals, showers, laundry, mail, charging, basic medical help or a housing entry point.",Adults experiencing homelessness or housing instability.,"Lunch, showers, laundry, restrooms, mail, device charging, ID assistance, limited bus passes and connections to shelter/housing.",Visit the Day Services Center; call Coordinated Entry first for housing/shelter assessment.,704-347-0278,"945 N. College St., Charlotte, NC 28206.",Hours and individual services vary; some assistance requires verification or sign-up.,https://www.roofabove.org/get-help/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Food / essentials; Health care; Financial capability; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
26,Housing / homelessness,Roof Above — Men's Emergency Shelter,No,Core,An unaccompanied adult who identifies as male needs emergency shelter.,"Age 18+, unaccompanied and identifies as male.","Year-round shelter beds, meals, showers, laundry, employment and housing-navigation support.",Complete Coordinated Entry and follow the shelter lottery/enrollment instructions.,704-334-3187 ext. 0102,"Tryon Shelter, 1210 N. Tryon St.; Howard Levine Men's Shelter, 3406 Statesville Ave.",Beds are limited and may use a lottery; overnight overflow procedures differ.,https://www.roofabove.org/emergency-shelter/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Housing; Food / essentials,Located in or serving the requested roughly 30-mile Charlotte search area.
27,Housing / homelessness,The Salvation Army Center of Hope,No,Core,"A woman, with or without children, needs emergency shelter.",Women and children experiencing homelessness; intake and safety criteria apply.,"Emergency shelter, food, basic needs and connections to supportive services.",Call the Center of Hope intake line or Mecklenburg Coordinated Entry before traveling.,704-348-2560,"534 Spratt St., Charlotte, NC 28206.",Bed availability and intake requirements change; call before arrival.,https://salvationarmycharlotte.org/greater-charlotte/shelter-1/,2026-08-05,Not contacted,Reviewed against FARM127 Resource Database 2024 and current official provider information.,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Food / essentials; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
28,Housing / homelessness,Crisis Assistance Ministry — Emergency Financial Assistance,No,Core,A Mecklenburg household is behind on rent or utilities or faces a short-term financial crisis.,Mecklenburg County residents who meet documentation and program requirements.,Emergency rent and utility assistance plus financial coaching.,Review required documents and apply through the Get Help process.,704-371-3001,"500-A Spratt St., Charlotte, NC 28206.",Funding is limited and changes frequently; assistance is not guaranteed and may not cover all arrears.,https://crisisassistance.org/programs/get-help/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Housing; Mental health / recovery; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
29,Food / essentials,Crisis Assistance Ministry — Free Store,No,Core,"A young adult needs clothing, shoes, linens or essential household goods at no cost.",People meeting the Free Store's current service requirements.,"Free donated clothing, shoes and household items.",Walk in during current Free Store shopping hours or review the official Get Help page before traveling.,704-371-3001,"500-A Spratt St., Charlotte, NC 28206.","Inventory varies. Current published shopping hours are Tuesday–Saturday, 10 a.m.–4 p.m., excluding closures.",https://crisisassistance.org/programs/get-help/,2026-08-05,Not contacted,Reviewed against FARM127 Resource Database 2024 and current official provider information.,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Food / essentials; Mental health / recovery; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
30,Housing / homelessness,INLIVIAN — Housing Choice Voucher and Public Housing,No,Core,A very-low-income young adult needs long-term subsidized housing.,"Income, household and program rules apply; waitlist selection is required.",Public housing and Housing Choice Voucher rental assistance.,Check the current waitlist status and apply only through official INLIVIAN channels.,,Charlotte / Mecklenburg County.,Waitlists are often closed or open only for limited periods; never pay a third party to apply.,https://www.inlivian.com/housing-choice-voucher/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
31,Housing / homelessness,Charlotte Family Housing,No,Specialized,A family with a minor child is homeless or unstably housed and needs temporary housing plus intensive support.,Families with at least one minor child; program screening applies.,"Temporary housing, case management, employment/financial support and transition to permanent housing.",Contact the organization and complete its intake/referral process.,,Charlotte / Mecklenburg County.,Not for unaccompanied adults without children; capacity is limited.,https://www.charlottefamilyhousing.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Housing; Financial capability; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
32,Housing / homelessness,YWCA Central Carolinas — Transitional Housing,No,Specialized,A single woman or a family with children needs transitional housing and case management.,Women in Transition serves single women; Families Together serves families with minor children; screening applies.,"Furnished transitional housing, case management and stability planning.",Review the relevant housing program and request intake.,,Charlotte / Mecklenburg County.,Program fit and openings vary; this is not same-day emergency shelter.,https://ywcacentralcarolinas.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Housing; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
33,Housing / homelessness,Time Out Youth — Housing & Supportive Services,No,Specialized,"An LGBTQ+ young adult needs affirming housing navigation, case management or basic needs.","LGBTQ+ young adults, generally ages 18–24 for housing services; specific service ages vary.","Housing case management, document/benefit help, food, showers, laundry, clothing, education and employment support.",Contact Time Out Youth and request housing/supportive-services intake.,,Charlotte / regional service area.,Housing resources are limited and eligibility differs by program.,https://timeoutyouth.org/housing-supportive-services/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Education; Housing; Food / essentials; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
34,Housing / homelessness,Safe Alliance — Domestic Violence Shelter,No,Core,A young adult is fleeing intimate-partner violence or needs a confidential safety plan and shelter.,Survivors of domestic violence; adults and children; safety screening applies.,"24/7 hotline, emergency shelter, safety planning, counseling and victim support.",Call the Greater Charlotte Hope Line.,980-771-4673,Charlotte / Mecklenburg County; shelter location is confidential.,Use 911 for immediate danger. Shelter placement depends on safety and capacity.,https://www.safealliance.org/programs/domestic-violence-shelter/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Health care; Mental health / recovery; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
35,Housing / homelessness,Gracious Hands Transitional Housing,No,Specialized,A woman experiencing or nearing homelessness needs transitional housing and life-skills support.,Women meeting program intake criteria; confirm whether children can be accommodated.,"Transitional housing, case management and life-skills support.",Contact the organization for a current eligibility and vacancy screening.,,Charlotte area.,Program size and openings are limited; verify current admission criteria directly.,https://www.gracioushandshousing.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Financial capability; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
36,Housing / homelessness,Crittenton of North Carolina,No,Specialized,"A pregnant or parenting young woman needs residential support, safety, education or family-stability services.",Women and families meeting the criteria for a specific Crittenton program.,"Residential and community programs supporting health, parenting, education and self-sufficiency.",Call and request screening for the appropriate program.,704-372-4663,"3350 Holabird Ln., Charlotte, NC 28208.",Programs have distinct eligibility; not all services are available to every applicant.,https://www.crittentonofnc.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Education; Housing; Health care; Legal / safety; Parenting / family; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
37,Housing / homelessness,MiraVia College Residence,No,Specialized,A pregnant college student or new mother needs free residential support while continuing school.,"Generally age 18+, pregnant or parenting a newborn, enrolled in college and meeting program screening requirements.","Free residential community, meals/support and help continuing postsecondary education.",Review eligibility and contact MiraVia for an application.,,Belmont / greater Charlotte area.,Narrow eligibility and limited residential capacity.,https://miravia.org/,2026-08-05,Not contacted,,Belmont / Gaston,Surrounding communities,Soft skills / life skills; Education; Housing; Food / essentials; Parenting / family; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
38,Housing / homelessness,Community Link,No,Backup,"A low- or moderate-income worker needs help obtaining or keeping safe, affordable housing or improving financial readiness.",Program-specific income and housing criteria apply.,"Housing counseling, financial literacy, homelessness services, homeownership education and referrals.",Contact Community Link and request the appropriate counseling or housing service.,704-943-9490,"601 E. 5th St., Suite 460, Charlotte, NC 28202.",Some programs focus on working households or homeownership rather than immediate shelter.,https://www.communitylinknc.org/who,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Education; Housing; Mental health / recovery; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
39,Housing / homelessness,Roof Above — Rapid Rehousing & Permanent Supportive Housing,No,Core,"A person experiencing homelessness needs rental subsidy, housing navigation or long-term supportive housing.",Rapid rehousing and supportive-housing programs have different federal homelessness and vulnerability criteria.,"Housing identification, move-in/rent assistance, case management and permanent supportive housing.",Enter through Mecklenburg Coordinated Entry.,704-284-9665,Mecklenburg County.,A referral from Coordinated Entry is required; long waits and documentation requirements are common.,https://www.roofabove.org/short-term-and-transitional-housing/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
40,Housing / homelessness,Mecklenburg Targeted Housing Assistance Program (THAP-IN),No,Verify,A young adult ages 18–24 is at imminent risk of homelessness and flexible cash support could prevent housing loss.,Pilot criteria have included Mecklenburg young adults ages 18–24 at imminent risk; current enrollment must be confirmed.,Flexible cash assistance paired with navigation/coaching.,"Ask The Relatives, Coordinated Entry or the local Continuum of Care whether the pilot is currently accepting referrals.",,Mecklenburg County.,Pilot funding and intake status were not confirmed for August 2026.,https://www.pointsourceyouth.org/mecklenburg-targeted-housing-assistance-program,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Housing; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
41,Food / essentials,Mecklenburg Food and Nutrition Services (SNAP/FNS),No,Core,A low-income young adult needs recurring grocery assistance.,"Income, household and immigration/status rules apply.",Electronic benefits for purchasing eligible food.,"Apply through ePASS, a Community Resource Center or Mecklenburg County.",704-336-3000,Mecklenburg County.,Processing and verification take time; expedited benefits are available only when statutory criteria are met.,https://dcr.mecknc.gov/services/food-and-nutrition-services,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Food / essentials; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
42,Food / essentials,Nourish Up — Food Share and Meals,No,Core,A young adult or household needs pantry groceries or prepared meal support.,Charlotte/Mecklenburg residents; distribution requirements vary by program/site.,"Food pantries, grocery distribution and meal delivery through local partners.",Use the Food Share access process or call for the closest distribution option.,,Charlotte / Mecklenburg County.,"Sites, appointment rules and food availability vary.",https://nourishup.org/foodshare/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Food / essentials,Located in or serving the requested roughly 30-mile Charlotte search area.
43,Food / essentials,Second Harvest Food Bank of Metrolina,No,Core,Finding an emergency food pantry or getting help applying for SNAP.,Residents in the regional service area; partner pantry rules vary.,"Food locator, partner pantry network and SNAP application assistance.",Use the Need Food locator; contact a listed partner before traveling.,,Charlotte region / Metrolina.,The warehouse generally is not a public walk-in pantry; service is delivered through partners.,https://www.secondharvestmetrolina.org/need-food,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Food / essentials; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
44,Food / essentials,Mecklenburg WIC,No,Specialized,"A pregnant person, new parent or caregiver of a child under five needs nutrition support.","Pregnant, postpartum or breastfeeding people and children under five who meet income/nutrition criteria.","Healthy-food benefits, nutrition education, breastfeeding support and health referrals.",Call Mecklenburg Public Health to apply or schedule an appointment.,704-336-6500,Mecklenburg County.,Not available to young adults without pregnancy/young-child eligibility.,https://health.mecknc.gov/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Housing; Food / essentials; Health care; Financial capability; Parenting / family,Located in or serving the requested roughly 30-mile Charlotte search area.
45,Benefits / financial,Mecklenburg Department of Community Resources — Apply for Benefits,No,Core,"A young adult may qualify for Medicaid, SNAP, Work First, energy or other public benefits.",Mecklenburg County residents; each benefit has separate eligibility.,Application intake and case processing for major county-administered benefits.,Apply online through ePASS or contact Mecklenburg County.,704-336-3000,Mecklenburg County.,One application does not guarantee eligibility; submit requested documents promptly.,https://dcr.mecknc.gov/Apply-for-Benefits,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
